Acompanhamentos 1;Acompanhamentos 2;Acompanhamentos 3;Acompanhamentos 4;Qty Acompanhamentos;Chave Participante;vencedor?;Faixa Etária;Ano Estréia;Cidade Origem;Data Saída;País Origem;Ocupação Agrupada;Gênero;Estado;Nome Participante;Idade;Ocupação;Resultado;Masterchef;Estréia Temporada;Fim Temporada;Qty Episódios;Qty Participantes;Obserção;Tipo Prato;Vegetariano;Nome Prato;Item Principal;Acompanhamentos;Participantes Finalistas;UF;Regiao
;;;;0;Rita Bruning5;0;Adultos;2018;Florianópolis;26 de junho de 2018;Brasil;Dentista;Mulher;Santa Catarina;Rita Bruning;51;Cirurgiã dentista;15ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SC;Sul
pirão de leite;brotos de agrião;;;2;Maria Antônia Russi5;1;Adultos;2018;Porto Alegre;31 de julho de 2018;Brasil;Sommelier;Mulher;Rio Grande do Sul;Maria Antônia Russi;36;Sommelier;Vencedor;5;6 de março de 2018;31 de julho de 2018;22;21;;Principal;0;Ragu de coelho;Coelho;pirão de leite, brotos de agrião;Maria Antônia Russi;RS;Sul
;;;;0;Jaime Conceição1;0;Adultos;2014;São Paulo;9 de dezembro de 2014;Brasil;Pedagogia;Homem;São Paulo;Jaime Conceição;32;Professor;12º eliminado;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
;;;;0;Vitor Bourguignon4;0;Adultos;2017;Curitiba;18 de julho de 2017;Brasil;Empresário;Homem;Paraná;Vitor Bourguignon;26;Empresário e cantor;17º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;PR;Sul
;;;;0;Vitor Bourguignon4;0;Adultos;2017;Curitiba;16 de maio de 2017;Brasil;Empresário;Homem;Paraná;Vitor Bourguignon;26;Empresário e cantor;8º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;PR;Sul
molho cítrico com ervas;iogurte;;;2;Helena Manosso1;0;Adultos;2014;São Paulo;16 de dezembro de 2014;Brasil;Engenheiro;Mulher;São Paulo;Helena Manosso;44;Engenheira química;2º lugar;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;Sobremesa;1;Abacaxi caramelizado;Abacaxi;molho cítrico com ervas, iogurte;Helena Manosso;SP;Sudeste
;;;;0;Victor Castelo3;0;Adultos;2016;Salvador;19 de abril de 2016;Brasil;Publicitário;Homem;Bahia;Victor Castelo;27;Publicitário;3º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;BA;Nordeste
;;;;0;Murilo de Oliveira2;0;Adultos;2015;Londrina;7 de julho de 2015;Brasil;Analista;Homem;Paraná;Murilo de Oliveira;26;Analista de marketing;8º eliminado;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;PR;Sul
;;;;0;Hellen Cruz3;0;Adultos;2016;Osasco;5 de abril de 2016;Brasil;Publicitário;Mulher;São Paulo;Hellen Cruz;29;Publicitária;1ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
;;;;0;Iranete Santana2;0;Adultos;2015;Salvador;14 de julho de 2015;Brasil;Doméstica;Mulher;Bahia;Iranete Santana;47;Doméstica;9ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;BA;Nordeste
